"","question","scenario","rating","recall","realrate","know","num_uid","physical","document","witness","character"
"2281",17,18,77,0,97,2,75,"clear_in","none","clear_in","none"
"2282",18,5,99,99,98,99,75,"clear_in","none","clear_in","clear_in"
"2283",19,31,98,99,98,38,75,"clear_in","none","none","none"
"2284",20,1,70,2,99,6,75,"ambiguous","clear_ex","clear_in","clear_in"
"2285",21,9,4,4,100,3,75,"clear_ex","clear_in","ambiguous","clear_in"
"2286",22,30,11,4,97,3,75,"clear_ex","clear_ex","clear_in","clear_in"
"2287",23,17,96,51,96,97,75,"clear_ex","clear_in","none","clear_in"
"2288",24,13,98,5,100,4,75,"clear_in","clear_ex","ambiguous","clear_ex"
"2289",25,29,8,67,95,65,75,"none","clear_ex","clear_in","none"
"2290",26,24,79,1,98,2,75,"ambiguous","none","clear_in","clear_in"
"2291",27,12,54,98,98,4,75,"clear_in","ambiguous","clear_ex","clear_in"
"2292",28,26,5,3,65,6,75,"clear_in","clear_ex","clear_ex","clear_in"
"2293",29,23,5,95,97,93,75,"ambiguous","clear_in","clear_ex","clear_ex"
"2294",30,3,94,4,94,0,75,"clear_in","clear_ex","none","clear_in"
"2295",0,19,0,64,88,42,76,"clear_in","none","clear_in","clear_in"
"2296",1,23,95,84,82,69,76,"clear_in","clear_in","clear_ex","none"
"2297",2,16,78,40,68,43,76,"none","clear_in","clear_ex","none"
"2298",3,28,92,37,97,29,76,"ambiguous","clear_ex","clear_in","clear_in"
"2299",4,29,0,50,90,30,76,"clear_in","ambiguous","clear_ex","none"
"2300",5,9,0,28,85,47,76,"clear_in","none","clear_ex","clear_in"
"2301",6,14,94,83,95,70,76,"none","clear_in","none","clear_ex"
"2302",7,22,89,57,87,47,76,"clear_in","clear_in","clear_ex","clear_in"
"2303",8,8,91,70,98,67,76,"clear_ex","clear_ex","clear_in","clear_in"
"2304",9,27,96,57,91,63,76,"none","clear_in","none","clear_in"
"2305",10,6,95,75,89,67,76,"clear_ex","clear_in","clear_in","clear_ex"
"2306",11,26,0,32,40,52,76,"clear_ex","clear_in","clear_in","clear_in"
"2307",12,17,93,63,39,61,76,"ambiguous","clear_in","ambiguous","clear_ex"
"2308",13,5,100,20,91,72,76,"clear_in","clear_ex","ambiguous","clear_ex"
"2309",14,24,93,69,76,51,76,"clear_in","clear_in","clear_in","none"
"2310",15,13,100,75,52,72,76,"none","none","clear_in","clear_ex"
"2311",16,12,3,53,56,59,76,"clear_ex","clear_in","clear_ex","clear_in"
"2312",17,11,92,60,63,57,76,"clear_in","clear_ex","clear_in","clear_ex"
"2313",18,10,97,68,83,72,76,"none","ambiguous","clear_in","none"
"2314",19,21,93,51,59,82,76,"clear_in","clear_ex","none","none"
"2315",20,4,94,69,89,80,76,"clear_in","ambiguous","ambiguous","none"
"2316",21,20,97,66,85,72,76,"none","clear_in","ambiguous","clear_in"
"2317",22,7,98,74,83,71,76,"clear_in","none","ambiguous","clear_ex"
"2318",23,25,87,94,88,73,76,"none","clear_ex","clear_in","clear_in"
"2319",24,31,1,42,78,61,76,"ambiguous","clear_in","clear_in","clear_ex"
"2320",25,1,85,52,69,69,76,"none","clear_in","clear_in","clear_ex"
"2321",26,2,5,44,68,9,76,"clear_in","clear_in","none","none"
"2322",27,18,3,12,73,6,76,"clear_in","clear_in","ambiguous","clear_in"
"2323",28,3,84,19,35,15,76,"clear_in","clear_in","none","clear_ex"
"2324",29,30,84,68,48,52,76,"ambiguous","clear_in","ambiguous","clear_in"
"2325",30,15,95,71,65,64,76,"clear_in","clear_in","clear_in","clear_in"
"2326",0,1,88,65,100,71,77,"clear_in","clear_in","ambiguous","clear_ex"
"2327",1,13,94,23,70,32,77,"clear_in","clear_ex","clear_ex","clear_in"
"2328",2,20,48,7,72,30,77,"ambiguous","clear_in","clear_in","clear_ex"
"2329",3,16,21,8,48,20,77,"clear_ex","none","clear_in","clear_in"
"2330",4,28,50,33,89,52,77,"ambiguous","clear_in","clear_ex","clear_ex"
"2331",5,22,34,61,71,52,77,"none","clear_ex","clear_in","none"
"2332",6,19,58,32,77,52,77,"ambiguous","clear_in","ambiguous","clear_ex"
"2333",7,5,76,31,86,50,77,"clear_in","clear_ex","ambiguous","none"
"2334",8,8,70,68,86,62,77,"none","none","clear_in","clear_ex"
"2335",9,7,93,31,80,57,77,"none","clear_in","clear_ex","clear_in"
"2336",10,24,48,53,74,51,77,"clear_in","clear_ex","ambiguous","clear_ex"
"2337",11,30,33,92,92,76,77,"clear_in","clear_ex","none","none"
"2338",12,6,55,79,100,80,77,"ambiguous","none","clear_in","clear_ex"
"2339",13,26,62,38,73,45,77,"none","clear_ex","clear_in","clear_in"
"2340",14,9,51,61,82,60,77,"clear_in","clear_ex","clear_in","clear_ex"
"2341",15,14,69,58,84,66,77,"none","clear_in","clear_in","clear_ex"
"2342",16,31,91,93,100,86,77,"clear_ex","clear_in","none","clear_in"
"2343",17,11,32,58,89,58,77,"clear_ex","clear_in","ambiguous","none"
"2344",18,25,75,78,96,67,77,"clear_in","clear_in","clear_ex","none"
"2345",19,29,95,91,100,85,77,"clear_in","ambiguous","clear_in","clear_in"
"2346",20,2,100,82,98,80,77,"clear_in","clear_in","clear_in","clear_in"
"2347",21,3,64,43,92,49,77,"clear_in","ambiguous","none","none"
"2348",22,27,99,90,100,88,77,"clear_in","none","clear_in","none"
"2349",23,18,80,79,90,76,77,"clear_in","clear_in","clear_ex","clear_in"
"2350",24,10,92,87,100,71,77,"none","clear_in","ambiguous","none"
"2351",25,21,80,62,91,63,77,"clear_in","clear_in","none","clear_ex"
"2352",26,15,82,91,99,90,77,"clear_in","ambiguous","ambiguous","clear_in"
"2353",27,23,64,88,87,61,77,"clear_in","none","ambiguous","none"
"2354",28,12,38,50,88,70,77,"ambiguous","clear_in","clear_ex","none"
"2355",29,17,77,72,75,75,77,"none","ambiguous","clear_in","none"
"2356",30,4,41,50,60,59,77,"clear_ex","clear_in","ambiguous","clear_ex"
"2357",0,22,58,77,95,34,78,"ambiguous","none","clear_in","clear_ex"
"2358",1,14,16,55,88,21,78,"clear_ex","clear_in","clear_in","clear_in"
"2359",2,30,26,24,69,0,78,"clear_ex","none","clear_in","clear_in"
"2360",3,17,96,78,96,14,78,"ambiguous","clear_in","clear_in","none"
"2361",4,16,0,6,53,1,78,"none","clear_in","none","clear_ex"
"2362",5,10,68,6,86,5,78,"clear_in","ambiguous","clear_ex","clear_in"
"2363",6,3,22,2,76,6,78,"clear_in","clear_ex","ambiguous","clear_in"
"2364",7,23,97,4,95,1,78,"clear_in","clear_in","clear_in","clear_in"
"2365",8,18,3,1,87,4,78,"clear_ex","clear_in","ambiguous","clear_in"
"2366",9,11,2,3,74,3,78,"ambiguous","clear_in","ambiguous","clear_in"
"2367",10,20,73,10,75,6,78,"clear_in","ambiguous","clear_ex","none"
"2368",11,15,3,4,96,6,78,"ambiguous","clear_ex","clear_in","clear_in"
"2369",12,1,97,5,100,1,78,"none","none","clear_in","clear_ex"
"2370",13,6,71,5,96,3,78,"clear_in","ambiguous","ambiguous","clear_in"
"2371",14,21,87,4,95,5,78,"clear_in","clear_in","clear_in","clear_ex"
"2372",15,29,94,6,91,3,78,"clear_in","none","clear_ex","clear_in"
"2373",16,12,1,4,76,2,78,"ambiguous","clear_in","ambiguous","clear_ex"
"2374",17,9,2,0,88,1,78,"clear_in","clear_ex","none","clear_in"
"2375",18,13,88,1,90,4,78,"none","clear_in","clear_ex","clear_in"
"2376",19,19,68,3,92,0,78,"ambiguous","ambiguous","clear_in","none"
"2377",20,4,1,4,74,3,78,"clear_in","clear_ex","clear_ex","clear_in"
"2378",21,8,7,2,90,8,78,"clear_ex","ambiguous","clear_in","clear_in"
"2379",22,2,83,4,95,4,78,"clear_in","ambiguous","none","none"
"2380",23,26,81,2,96,5,78,"clear_in","none","ambiguous","clear_in"
"2381",24,28,93,7,95,6,78,"clear_in","clear_in","ambiguous","clear_ex"
"2382",25,31,3,4,95,1,78,"clear_ex","clear_in","clear_ex","clear_in"
"2383",26,5,2,3,78,2,78,"ambiguous","clear_in","ambiguous","none"
"2384",27,24,92,7,79,5,78,"clear_in","ambiguous","clear_in","clear_in"
"2385",28,27,39,1,97,5,78,"ambiguous","none","clear_in","clear_in"
"2386",29,7,95,1,82,3,78,"none","clear_in","clear_in","none"
"2387",30,25,4,3,96,6,78,"none","ambiguous","clear_in","clear_in"
"2388",0,13,78,78,98,98,79,"ambiguous","clear_in","ambiguous","clear_ex"
"2389",1,14,5,49,99,83,79,"ambiguous","clear_in","clear_in","clear_in"
"2390",2,22,99,17,99,98,79,"clear_in","none","none","clear_ex"
"2391",3,8,65,2,66,3,79,"none","clear_in","none","clear_ex"
"2392",4,1,99,1,98,99,79,"clear_ex","ambiguous","clear_in","clear_in"
"2393",5,16,1,2,98,98,79,"clear_in","ambiguous","clear_in","clear_ex"
"2394",6,23,98,2,97,99,79,"none","clear_in","clear_ex","none"
"2395",7,25,1,99,98,99,79,"clear_ex","clear_in","none","clear_in"
"2396",8,15,10,96,80,5,79,"clear_ex","clear_in","none","none"
"2397",9,9,99,84,97,52,79,"clear_in","clear_in","clear_in","clear_ex"
"2398",10,31,97,37,100,86,79,"clear_in","ambiguous","none","clear_in"
"2399",11,2,98,44,97,99,79,"clear_ex","clear_in","clear_ex","clear_in"
"2400",12,20,72,23,99,99,79,"clear_in","clear_ex","clear_ex","clear_in"
"2401",13,21,98,98,98,97,79,"none","clear_ex","clear_in","none"
"2402",14,11,98,1,20,34,79,"clear_in","clear_in","clear_in","clear_in"
"2403",15,28,2,70,47,25,79,"ambiguous","none","clear_in","clear_ex"
"2404",16,6,99,82,99,97,79,"none","clear_in","clear_in","none"
"2405",17,7,1,57,18,3,79,"clear_ex","clear_in","clear_in","clear_in"
"2406",18,4,98,42,78,76,79,"clear_in","clear_in","none","clear_ex"
"2407",19,5,1,2,98,77,79,"clear_in","ambiguous","clear_in","none"
"2408",20,12,98,96,99,97,79,"none","none","clear_in","clear_ex"
"2409",21,26,98,75,98,98,79,"none","clear_in","clear_in","clear_in"
"2410",22,29,100,53,98,98,79,"clear_in","ambiguous","clear_ex","clear_in"
"2411",23,18,3,1,99,98,79,"clear_ex","none","clear_in","none"
"2412",24,19,2,18,98,98,79,"clear_in","clear_in","ambiguous","clear_ex"
"2413",25,27,98,2,99,99,79,"none","ambiguous","clear_in","clear_in"
"2414",26,10,97,47,26,2,79,"ambiguous","clear_in","clear_in","clear_ex"
"2415",27,3,99,100,98,98,79,"none","none","clear_in","clear_in"
"2416",28,17,0,1,98,99,79,"ambiguous","ambiguous","clear_in","none"
"2417",29,30,98,75,98,98,79,"ambiguous","clear_ex","clear_in","clear_in"
"2418",30,24,2,58,83,18,79,"clear_in","clear_in","ambiguous","clear_in"
"2419",0,17,75,6,98,60,80,"clear_ex","ambiguous","clear_in","clear_in"
"2420",1,4,2,2,47,16,80,"ambiguous","clear_in","ambiguous","clear_ex"
"2421",2,18,99,1,98,27,80,"clear_in","none","clear_in","clear_in"
"2422",3,31,98,98,99,55,80,"clear_in","ambiguous","ambiguous","none"
"2423",4,25,21,0,98,66,80,"clear_in","none","ambiguous","none"
"2424",5,12,13,6,98,40,80,"clear_ex","clear_in","none","none"
"2425",6,1,1,1,98,97,80,"clear_ex","clear_in","ambiguous","none"
"2426",7,16,3,2,98,53,80,"ambiguous","none","clear_in","clear_ex"
"2427",8,2,93,2,99,70,80,"clear_in","clear_in","clear_ex","none"
"2428",9,7,98,0,98,72,80,"clear_in","ambiguous","none","clear_in"
"2429",10,3,18,0,98,76,80,"none","ambiguous","clear_in","clear_in"
"2430",11,10,2,0,57,94,80,"clear_ex","none","clear_in","none"
"2431",12,27,13,80,98,87,80,"ambiguous","clear_ex","clear_in","clear_in"
"2432",13,15,1,0,30,91,80,"clear_ex","clear_in","ambiguous","clear_ex"
"2433",14,30,2,1,12,82,80,"clear_ex","clear_ex","clear_in","clear_in"
"2434",15,26,1,1,49,64,80,"clear_in","none","none","clear_ex"
"2435",16,19,1,1,86,62,80,"none","clear_in","none","clear_ex"
"2436",17,20,38,0,84,11,80,"none","clear_in","clear_ex","none"
"2437",18,8,78,1,73,19,80,"clear_in","none","clear_ex","clear_in"
"2438",19,22,97,17,99,61,80,"none","clear_in","clear_in","clear_in"
"2439",20,5,99,1,88,74,80,"clear_in","ambiguous","clear_in","clear_in"
"2440",21,28,3,60,95,69,80,"clear_ex","none","clear_in","clear_in"
"2441",22,23,99,98,98,97,80,"clear_in","ambiguous","ambiguous","clear_in"
"2442",23,11,98,1,88,59,80,"clear_in","ambiguous","clear_ex","clear_ex"
"2443",24,9,97,1,98,85,80,"none","clear_in","clear_in","none"
"2444",25,21,98,0,88,85,80,"clear_in","ambiguous","none","none"
"2445",26,29,16,36,98,55,80,"ambiguous","clear_in","none","none"
"2446",27,13,3,14,80,29,80,"ambiguous","none","clear_in","none"
"2447",28,24,99,1,98,79,80,"ambiguous","clear_in","ambiguous","clear_in"
"2448",29,6,49,1,91,43,80,"clear_in","ambiguous","ambiguous","clear_ex"
"2449",30,14,21,2,99,77,80,"ambiguous","clear_ex","clear_in","clear_ex"
"2450",0,15,4,2,78,1,81,"clear_in","clear_ex","none","none"
"2451",1,14,45,3,82,1,81,"none","clear_in","none","clear_ex"
"2452",2,11,12,34,47,3,81,"clear_in","clear_ex","clear_ex","clear_in"
"2453",3,2,58,81,91,9,81,"clear_in","none","clear_in","clear_ex"
"2454",4,21,3,35,32,26,81,"none","clear_in","none","clear_in"
"2455",5,31,39,33,46,24,81,"ambiguous","clear_in","clear_ex","none"
"2456",6,26,72,21,66,12,81,"none","clear_in","none","none"
"2457",7,28,42,21,44,32,81,"clear_ex","clear_in","clear_in","clear_ex"
"2458",8,23,87,78,88,48,81,"none","clear_in","clear_in","none"
"2459",9,29,3,52,28,50,81,"ambiguous","none","clear_in","clear_in"
"2460",10,12,38,29,53,18,81,"clear_in","ambiguous","none","clear_ex"
"2461",11,9,42,22,69,23,81,"clear_in","clear_in","clear_ex","clear_in"
"2462",12,10,47,22,55,13,81,"ambiguous","clear_in","none","none"
"2463",13,1,55,75,66,67,81,"ambiguous","ambiguous","clear_in","clear_in"
"2464",14,19,69,86,78,24,81,"clear_in","clear_in","clear_in","clear_ex"
"2465",15,13,95,97,95,33,81,"clear_in","clear_ex","clear_in","none"
"2466",16,17,48,57,97,36,81,"clear_in","clear_in","clear_ex","clear_ex"
"2467",17,25,31,37,55,22,81,"clear_in","ambiguous","clear_ex","clear_ex"
"2468",18,30,66,55,89,37,81,"clear_in","clear_in","none","none"
"2469",19,4,25,8,52,11,81,"clear_ex","ambiguous","clear_in","clear_in"
"2470",20,16,5,25,60,21,81,"clear_in","none","ambiguous","none"
"2471",21,7,96,60,82,44,81,"clear_in","clear_in","clear_in","none"
"2472",22,20,30,15,61,28,81,"clear_in","none","none","clear_ex"
"2473",23,5,51,49,84,46,81,"none","ambiguous","clear_in","clear_in"
"2474",24,22,53,74,91,62,81,"clear_in","none","ambiguous","clear_in"
"2475",25,24,4,32,74,52,81,"none","ambiguous","clear_in","none"
"2476",26,6,2,82,81,40,81,"clear_in","clear_ex","ambiguous","clear_in"
"2477",27,3,16,17,47,5,81,"none","clear_in","ambiguous","clear_ex"
"2478",28,18,34,65,66,34,81,"clear_ex","clear_ex","clear_in","clear_in"
"2479",29,8,61,37,73,61,81,"clear_ex","clear_in","none","clear_in"
"2480",30,27,69,31,47,72,81,"clear_in","none","clear_ex","none"
"2481",0,29,52,0,85,0,82,"clear_in","ambiguous","none","clear_ex"
"2482",1,5,91,0,85,2,82,"clear_in","clear_in","clear_in","clear_ex"
"2483",2,1,90,85,97,26,82,"clear_in","none","clear_ex","clear_in"
"2484",3,3,3,33,74,27,82,"clear_ex","ambiguous","clear_in","clear_ex"
"2485",4,13,21,74,76,70,82,"clear_ex","clear_ex","clear_in","clear_in"
"2486",5,31,81,12,78,13,82,"ambiguous","clear_in","clear_ex","clear_in"
"2487",6,8,67,10,26,13,82,"none","clear_ex","clear_in","clear_in"
"2488",7,23,10,80,91,26,82,"clear_ex","clear_in","none","none"
"2489",8,15,96,13,94,12,82,"clear_in","none","none","none"
"2490",9,20,84,6,72,6,82,"ambiguous","clear_in","ambiguous","clear_in"
"2491",10,19,83,2,88,1,82,"ambiguous","clear_in","ambiguous","clear_ex"
"2492",11,2,99,8,99,5,82,"none","clear_in","none","clear_ex"
"2493",12,14,98,5,96,5,82,"clear_in","none","clear_in","clear_in"
"2494",13,12,91,6,92,4,82,"clear_in","clear_in","none","clear_ex"
"2495",14,11,88,4,94,4,82,"ambiguous","clear_in","clear_in","clear_in"
"2496",15,24,29,3,78,3,82,"clear_ex","ambiguous","clear_in","none"
"2497",16,18,51,19,85,15,82,"none","clear_in","clear_ex","none"
"2498",17,22,98,22,93,21,82,"ambiguous","clear_in","clear_in","clear_ex"
"2499",18,27,100,57,100,48,82,"clear_in","clear_in","clear_in","clear_in"
"2500",19,16,99,12,98,42,82,"none","none","clear_in","none"
"2501",20,17,99,82,99,79,82,"clear_in","ambiguous","clear_in","clear_ex"
"2502",21,30,82,4,94,3,82,"clear_in","clear_ex","clear_in","none"
"2503",22,28,97,3,95,1,82,"none","clear_in","clear_in","none"
"2504",23,4,84,27,96,24,82,"ambiguous","ambiguous","clear_in","none"
"2505",24,10,98,2,99,1,82,"ambiguous","clear_ex","clear_in","clear_in"
"2506",25,9,99,2,85,1,82,"none","none","clear_in","clear_in"
"2507",26,7,56,12,85,10,82,"clear_in","clear_ex","clear_in","clear_ex"
"2508",27,6,67,2,86,1,82,"ambiguous","clear_ex","clear_in","none"
"2509",28,21,78,2,90,2,82,"none","clear_in","ambiguous","clear_ex"
"2510",29,25,18,1,86,2,82,"none","ambiguous","clear_in","none"
"2511",30,26,99,2,73,2,82,"clear_in","ambiguous","clear_in","none"
"2512",0,16,30,74,14,25,83,"clear_in","clear_in","none","clear_in"
"2513",1,20,68,8,40,24,83,"clear_in","clear_in","none","clear_ex"
"2514",2,26,83,40,68,13,83,"clear_ex","clear_in","clear_in","none"
"2515",3,27,71,37,76,20,83,"clear_in","clear_ex","ambiguous","clear_ex"
"2516",4,3,84,7,73,29,83,"none","clear_in","none","none"
"2517",5,11,5,0,78,26,83,"none","clear_in","clear_ex","none"
"2518",6,8,89,6,78,34,83,"none","clear_ex","clear_in","clear_in"
"2519",7,18,44,74,78,62,83,"clear_in","ambiguous","clear_ex","none"
"2520",8,12,69,3,67,37,83,"clear_ex","clear_in","clear_in","clear_ex"
"2521",9,4,17,0,57,35,83,"clear_in","clear_ex","none","none"
"2522",10,17,49,40,54,18,83,"ambiguous","clear_in","ambiguous","none"
"2523",11,29,49,8,70,28,83,"ambiguous","clear_in","clear_ex","none"
"2524",12,28,15,10,72,18,83,"none","clear_in","ambiguous","clear_ex"
"2525",13,31,91,76,74,32,83,"clear_in","clear_in","clear_in","clear_in"
"2526",14,25,72,24,57,13,83,"clear_in","clear_in","clear_ex","clear_in"
"2527",15,30,95,82,83,26,83,"clear_in","clear_in","clear_in","none"
"2528",16,19,93,82,83,37,83,"clear_in","none","clear_ex","clear_in"
"2529",17,5,98,65,73,51,83,"clear_in","ambiguous","clear_in","none"
"2530",18,7,62,74,73,34,83,"clear_ex","clear_in","ambiguous","clear_ex"
"2531",19,15,59,44,74,47,83,"clear_in","ambiguous","ambiguous","clear_ex"
"2532",20,2,76,40,68,51,83,"ambiguous","clear_in","clear_in","clear_ex"
"2533",21,1,77,51,48,23,83,"none","clear_in","none","clear_in"
"2534",22,23,87,58,48,38,83,"clear_in","none","clear_in","clear_in"
"2535",23,10,55,72,56,55,83,"clear_in","clear_ex","ambiguous","none"
"2536",24,6,57,39,55,37,83,"none","clear_in","ambiguous","none"
"2537",25,13,94,76,87,69,83,"clear_in","none","none","clear_in"
"2538",26,21,88,76,84,51,83,"clear_in","clear_ex","clear_in","clear_in"
"2539",27,14,70,49,59,34,83,"clear_in","ambiguous","ambiguous","none"
"2540",28,9,66,57,45,36,83,"clear_in","ambiguous","ambiguous","clear_in"
"2541",29,24,67,48,53,62,83,"clear_in","none","clear_in","none"
"2542",30,22,92,59,73,39,83,"ambiguous","clear_in","none","clear_ex"
"2543",0,16,96,20,67,0,85,"clear_in","clear_in","clear_ex","none"
"2544",1,8,13,16,68,5,85,"clear_ex","none","clear_in","none"
"2545",2,18,55,21,54,23,85,"ambiguous","ambiguous","clear_in","clear_ex"
"2546",3,15,24,27,73,23,85,"ambiguous","clear_in","ambiguous","clear_ex"
"2547",4,27,97,25,90,37,85,"clear_in","ambiguous","ambiguous","none"
"2548",5,29,62,24,66,21,85,"none","clear_in","clear_ex","clear_in"
"2549",6,19,34,12,23,12,85,"clear_in","none","none","clear_ex"
"2550",7,24,59,22,65,45,85,"ambiguous","clear_in","none","clear_ex"
"2551",8,5,22,23,26,8,85,"clear_ex","clear_ex","clear_in","clear_in"
"2552",9,14,35,15,35,17,85,"ambiguous","clear_ex","clear_in","none"
"2553",10,11,12,14,63,15,85,"clear_ex","ambiguous","clear_in","clear_ex"
"2554",11,12,40,22,39,20,85,"ambiguous","ambiguous","clear_in","none"
"2555",12,25,61,19,72,38,85,"none","clear_in","ambiguous","none"
"2556",13,9,16,15,19,13,85,"none","clear_in","clear_ex","none"
"2557",14,2,69,12,34,17,85,"ambiguous","clear_in","clear_in","clear_in"
"2558",15,13,82,11,62,20,85,"clear_in","none","ambiguous","clear_in"
"2559",16,10,35,14,55,18,85,"none","clear_in","none","none"
"2560",17,30,26,13,15,14,85,"clear_ex","clear_in","ambiguous","clear_ex"
"2561",18,7,22,12,32,11,85,"none","none","clear_in","none"
"2562",19,3,28,16,34,11,85,"clear_in","clear_ex","ambiguous","none"
"2563",20,28,62,19,58,16,85,"ambiguous","clear_ex","clear_in","clear_in"
"2564",21,17,63,18,57,17,85,"clear_in","clear_in","clear_ex","clear_in"
"2565",22,26,68,12,29,14,85,"clear_ex","ambiguous","clear_in","none"
"2566",23,31,58,16,69,20,85,"ambiguous","clear_in","none","none"
"2567",24,23,34,15,49,14,85,"clear_in","clear_ex","clear_in","none"
"2568",25,20,33,17,28,17,85,"ambiguous","clear_in","clear_in","clear_ex"
"2569",26,4,22,22,26,19,85,"ambiguous","clear_in","clear_ex","clear_in"
"2570",27,1,84,16,74,19,85,"clear_ex","clear_in","clear_in","clear_in"
"2571",28,6,42,14,59,12,85,"none","none","clear_in","clear_ex"
"2572",29,22,59,14,47,18,85,"clear_in","clear_in","clear_ex","clear_ex"
"2573",30,21,57,22,63,18,85,"clear_in","clear_ex","clear_in","clear_ex"
