"","question","scenario","rating","recall","realrate","know","num_uid","physical","document","witness","character"
"2016",0,8,95,1,48,16,67,"clear_in","ambiguous","none","none"
"2017",1,22,98,21,98,5,67,"none","clear_in","clear_ex","none"
"2018",2,25,1,2,49,14,67,"clear_ex","clear_ex","clear_in","clear_in"
"2019",3,20,0,3,54,0,67,"none","none","clear_in","none"
"2020",4,1,49,43,97,72,67,"ambiguous","clear_in","none","none"
"2021",5,17,1,24,48,19,67,"ambiguous","clear_ex","clear_in","clear_ex"
"2022",6,29,50,11,52,31,67,"ambiguous","clear_in","none","clear_in"
"2023",7,27,1,39,99,48,67,"clear_ex","clear_in","clear_ex","clear_in"
"2024",8,13,49,23,96,38,67,"ambiguous","ambiguous","clear_in","none"
"2025",9,16,53,2,87,21,67,"none","none","clear_in","clear_ex"
"2026",10,10,99,34,97,24,67,"ambiguous","ambiguous","clear_in","clear_in"
"2027",11,19,33,23,93,27,67,"clear_ex","ambiguous","clear_in","clear_ex"
"2028",12,9,99,25,84,36,67,"clear_in","none","none","none"
"2029",13,31,35,99,99,55,67,"none","ambiguous","clear_in","none"
"2030",14,5,53,16,93,2,67,"none","clear_ex","clear_in","clear_in"
"2031",15,12,87,11,91,14,67,"clear_in","clear_in","ambiguous","none"
"2032",16,28,53,9,95,5,67,"ambiguous","clear_in","clear_in","none"
"2033",17,11,98,11,81,18,67,"clear_in","none","none","clear_ex"
"2034",18,6,89,2,80,5,67,"clear_in","ambiguous","none","clear_ex"
"2035",19,7,45,12,77,9,67,"clear_ex","clear_in","clear_in","clear_ex"
"2036",20,3,88,10,92,14,67,"clear_in","clear_in","clear_ex","none"
"2037",21,24,46,5,49,4,67,"clear_in","clear_ex","ambiguous","clear_ex"
"2038",22,15,98,66,98,56,67,"clear_in","ambiguous","ambiguous","none"
"2039",23,4,96,2,92,6,67,"clear_ex","clear_in","clear_in","clear_in"
"2040",24,18,35,70,97,48,67,"clear_ex","clear_in","ambiguous","clear_ex"
"2041",25,26,85,9,91,18,67,"ambiguous","clear_in","clear_in","clear_in"
"2042",26,23,99,51,99,51,67,"clear_in","none","clear_in","clear_ex"
"2043",27,2,95,28,95,32,67,"ambiguous","clear_in","clear_in","clear_ex"
"2044",28,14,97,42,96,47,67,"clear_in","none","clear_in","clear_in"
"2045",29,30,61,99,98,54,67,"none","clear_in","ambiguous","clear_ex"
"2046",30,21,61,8,92,51,67,"ambiguous","clear_in","ambiguous","clear_ex"
"2047",0,31,86,96,98,70,68,"none","clear_in","none","clear_in"
"2048",1,28,72,42,92,46,68,"none","clear_in","none","clear_ex"
"2049",2,3,51,78,100,73,68,"clear_in","ambiguous","clear_in","none"
"2050",3,25,96,97,98,96,68,"clear_in","none","none","clear_in"
"2051",4,22,86,94,96,69,68,"clear_in","none","clear_ex","none"
"2052",5,14,98,86,93,73,68,"clear_ex","clear_in","clear_in","clear_ex"
"2053",6,30,97,95,95,78,68,"clear_in","clear_in","ambiguous","clear_in"
"2054",7,23,15,69,70,39,68,"ambiguous","clear_ex","clear_in","clear_in"
"2055",8,21,56,47,80,38,68,"clear_in","ambiguous","clear_ex","clear_ex"
"2056",9,16,69,63,78,49,68,"none","clear_in","clear_ex","none"
"2057",10,10,90,46,72,44,68,"none","ambiguous","clear_in","clear_in"
"2058",11,9,59,49,71,39,68,"none","ambiguous","clear_in","clear_ex"
"2059",12,1,96,97,98,92,68,"clear_in","none","clear_ex","clear_in"
"2060",13,27,87,85,85,56,68,"clear_ex","clear_in","clear_in","clear_in"
"2061",14,19,49,46,48,38,68,"none","clear_in","ambiguous","none"
"2062",15,2,90,84,90,81,68,"clear_in","none","clear_in","clear_ex"
"2063",16,26,62,46,51,38,68,"none","clear_in","clear_in","clear_ex"
